
2024/08/05 (22:50:37) | ===> btop++ v.1.3.2
2024/08/06 (23:00:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (23:01:24) | ===> btop++ v.1.3.2
2024/08/06 (23:01:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (09:39:05) | ===> btop++ v.1.3.2
2024/08/07 (09:39:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (09:52:18) | ===> btop++ v.1.3.2
2024/08/07 (09:52:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (09:59:30) | ===> btop++ v.1.3.2
2024/08/07 (09:59:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (10:44:29) | ===> btop++ v.1.3.2
2024/08/07 (10:44:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (10:45:34) | ===> btop++ v.1.3.2
2024/08/07 (10:45:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (10:48:38) | ===> btop++ v.1.3.2
2024/08/07 (10:48:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (11:06:44) | ===> btop++ v.1.3.2
2024/08/07 (11:06:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (11:57:58) | ===> btop++ v.1.3.2
2024/08/07 (11:57:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (11:58:00) | ===> btop++ v.1.3.2
2024/08/07 (11:58:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (13:01:37) | ===> btop++ v.1.3.2
2024/08/07 (13:01:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/08 (16:06:28) | ===> btop++ v.1.3.2
2024/08/08 (16:06:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/08 (19:28:42) | ===> btop++ v.1.3.2
2024/08/08 (19:28:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/10 (20:50:43) | ===> btop++ v.1.3.2
2024/08/10 (20:50:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (20:21:24) | ===> btop++ v.1.3.2
2024/09/13 (20:21:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (12:51:03) | ===> btop++ v.1.3.2
2024/09/15 (12:51:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (18:30:26) | ===> btop++ v.1.3.2
2024/09/15 (18:30:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (19:22:11) | ===> btop++ v.1.3.2
2024/09/15 (19:22:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (19:24:00) | ===> btop++ v.1.3.2
2024/09/15 (19:24:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (19:31:27) | ===> btop++ v.1.3.2
2024/09/15 (19:31:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (19:31:53) | ===> btop++ v.1.3.2
2024/09/15 (19:31:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (21:54:28) | ===> btop++ v.1.3.2
2024/09/15 (21:54:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (23:14:10) | ===> btop++ v.1.3.2
2024/09/15 (23:14:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (23:16:41) | ===> btop++ v.1.3.2
2024/09/15 (23:16:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (23:22:07) | ===> btop++ v.1.3.2
2024/09/15 (23:22:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (23:29:45) | ===> btop++ v.1.3.2
2024/09/15 (23:29:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (22:54:33) | ===> btop++ v.1.3.2
2024/09/19 (22:54:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (11:28:34) | ===> btop++ v.1.3.2
2024/09/20 (11:28:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (17:55:58) | ===> btop++ v.1.3.2
2024/09/20 (17:55:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (23:06:03) | ===> btop++ v.1.3.2
2024/09/21 (23:06:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (23:12:51) | ===> btop++ v.1.3.2
2024/09/21 (23:12:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (23:16:43) | ===> btop++ v.1.3.2
2024/09/21 (23:16:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (23:19:35) | ===> btop++ v.1.3.2
2024/09/21 (23:19:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (23:21:04) | ===> btop++ v.1.3.2
2024/09/21 (23:21:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (23:21:15) | ===> btop++ v.1.3.2
2024/09/21 (23:21:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (23:25:51) | ===> btop++ v.1.3.2
2024/09/21 (23:25:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (23:37:32) | ===> btop++ v.1.3.2
2024/09/21 (23:37:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (17:39:46) | ===> btop++ v.1.3.2
2024/09/22 (17:39:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (21:48:44) | ===> btop++ v.1.4.0
2024/09/23 (21:48:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (19:23:13) | ===> btop++ v.1.4.0
2024/09/24 (19:23:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (19:41:35) | ===> btop++ v.1.4.0
2024/09/24 (19:41:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (21:56:18) | ===> btop++ v.1.4.0
2024/09/24 (21:56:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (11:29:05) | ===> btop++ v.1.4.0
2024/09/25 (11:29:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (11:29:30) | ===> btop++ v.1.4.0
2024/09/25 (11:29:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (22:28:27) | ===> btop++ v.1.4.0
2024/09/25 (22:28:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (22:57:26) | ===> btop++ v.1.4.0
2024/09/25 (22:57:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (23:01:58) | ===> btop++ v.1.4.0
2024/09/25 (23:01:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (20:44:17) | ===> btop++ v.1.4.0
2024/09/26 (20:44:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (20:11:39) | ===> btop++ v.1.4.0
2024/09/27 (20:11:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (23:23:39) | ===> btop++ v.1.4.0
2024/09/27 (23:23:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (19:26:24) | ===> btop++ v.1.4.0
2024/09/28 (19:26:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (16:43:59) | ===> btop++ v.1.4.0
2024/09/29 (16:43:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/30 (00:02:38) | ===> btop++ v.1.4.0
2024/09/30 (00:02:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (23:17:38) | ===> btop++ v.1.4.0
2024/10/01 (23:17:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/02 (11:31:26) | ===> btop++ v.1.4.0
2024/10/02 (11:31:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/02 (11:34:15) | ===> btop++ v.1.4.0
2024/10/02 (11:34:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/02 (13:28:42) | ===> btop++ v.1.4.0
2024/10/02 (13:28:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/02 (16:05:37) | ===> btop++ v.1.4.0
2024/10/02 (16:05:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (18:40:05) | ===> btop++ v.1.4.0
2024/10/04 (18:40:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (18:46:00) | ===> btop++ v.1.4.0
2024/10/04 (18:46:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/05 (20:07:38) | ===> btop++ v.1.4.0
2024/10/05 (20:07:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/07 (16:30:20) | ===> btop++ v.1.4.0
2024/10/07 (16:30:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/07 (16:31:28) | ===> btop++ v.1.4.0
2024/10/07 (16:31:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/09 (10:07:09) | ===> btop++ v.1.4.0
2024/10/09 (10:07:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/09 (20:49:06) | ===> btop++ v.1.4.0
2024/10/09 (20:49:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/09 (22:30:30) | ===> btop++ v.1.4.0
2024/10/09 (22:30:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/10 (10:16:59) | ===> btop++ v.1.4.0
2024/10/10 (10:16:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/10 (11:40:04) | ===> btop++ v.1.4.0
2024/10/10 (11:40:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/14 (19:06:39) | ===> btop++ v.1.4.0
2024/10/14 (19:06:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/14 (21:09:35) | ===> btop++ v.1.4.0
2024/10/14 (21:09:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/15 (21:42:11) | ===> btop++ v.1.4.0
2024/10/15 (21:42:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/15 (21:44:55) | ===> btop++ v.1.4.0
2024/10/15 (21:44:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/15 (22:46:50) | ===> btop++ v.1.4.0
2024/10/15 (22:46:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/15 (22:47:59) | ===> btop++ v.1.4.0
2024/10/15 (22:47:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/15 (23:01:12) | ===> btop++ v.1.4.0
2024/10/15 (23:01:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/15 (23:02:11) | ===> btop++ v.1.4.0
2024/10/15 (23:02:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/16 (19:05:05) | ===> btop++ v.1.4.0
2024/10/16 (19:05:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/17 (15:39:32) | ===> btop++ v.1.4.0
2024/10/17 (15:39:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/17 (15:43:05) | ===> btop++ v.1.4.0
2024/10/17 (15:43:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/17 (15:43:24) | ===> btop++ v.1.4.0
2024/10/17 (15:43:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/17 (15:43:28) | ===> btop++ v.1.4.0
2024/10/17 (15:43:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/17 (15:44:28) | ===> btop++ v.1.4.0
2024/10/17 (15:44:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/17 (20:40:44) | ===> btop++ v.1.4.0
2024/10/17 (20:40:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/17 (20:42:20) | ===> btop++ v.1.4.0
2024/10/17 (20:42:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/19 (19:42:18) | ===> btop++ v.1.4.0
2024/10/19 (19:42:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/22 (22:34:08) | ===> btop++ v.1.4.0
2024/10/22 (22:34:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/22 (22:35:20) | ===> btop++ v.1.4.0
2024/10/22 (22:35:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/23 (20:27:56) | ===> btop++ v.1.4.0
2024/10/23 (20:27:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/24 (11:19:58) | ===> btop++ v.1.4.0
2024/10/24 (11:19:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/24 (12:37:49) | ===> btop++ v.1.4.0
2024/10/24 (12:37:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/24 (19:30:26) | ===> btop++ v.1.4.0
2024/10/24 (19:30:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/26 (00:15:54) | ===> btop++ v.1.4.0
2024/10/26 (00:15:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/26 (01:56:07) | ===> btop++ v.1.4.0
2024/10/26 (01:56:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/27 (14:21:13) | ===> btop++ v.1.4.0
2024/10/27 (14:21:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/27 (14:21:47) | ===> btop++ v.1.4.0
2024/10/27 (14:21:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/05 (19:54:17) | ===> btop++ v.1.4.0
2024/11/05 (19:54:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/06 (21:27:02) | ===> btop++ v.1.4.0
2024/11/06 (21:27:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/06 (21:27:35) | ===> btop++ v.1.4.0
2024/11/06 (21:27:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/07 (15:30:16) | ===> btop++ v.1.4.0
2024/11/07 (15:30:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/07 (15:38:13) | ===> btop++ v.1.4.0
2024/11/07 (15:38:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/07 (17:49:37) | ===> btop++ v.1.4.0
2024/11/07 (17:49:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (18:42:38) | ===> btop++ v.1.4.0
2024/11/08 (18:42:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (18:43:13) | ===> btop++ v.1.4.0
2024/11/08 (18:43:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (19:44:41) | ===> btop++ v.1.4.0
2024/11/08 (19:44:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (19:47:51) | ===> btop++ v.1.4.0
2024/11/08 (19:47:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (19:53:48) | ===> btop++ v.1.4.0
2024/11/08 (19:53:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:22:36) | ===> btop++ v.1.4.0
2024/11/10 (12:22:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (16:31:23) | ===> btop++ v.1.4.0
2024/11/10 (16:31:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (18:09:48) | ===> btop++ v.1.4.0
2024/11/10 (18:09:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
